院校,专业名称,最低分,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
厦门软件职业技术学院,计算机应用技术,361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
厦门软件职业技术学院,计算机网络技术,371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
厦门软件职业技术学院,软件技术 （程序设计）,362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
厦门软件职业技术学院,软件技术 （游戏开发技术）,353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
厦门软件职业技术学院,数字媒体技术,432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
厦门软件职业技术学院,大数据技术,358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
厦门软件职业技术学院,云计算技术应用,383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
厦门软件职业技术学院,信息安全技术应用,398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
厦门软件职业技术学院,虚拟现实技术应用,305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
厦门软件职业技术学院,人工智能技术应用,386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
厦门软件职业技术学院,动漫制作技术,386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
厦门软件职业技术学院,电子商务,415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
厦门软件职业技术学院,广告艺术设计,370,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
厦门兴才职业技术学院,物联网应用技术,221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
厦门兴才职业技术学院,计算机应用技术,275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
厦门兴才职业技术学院,软件技术,220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
厦门兴才职业技术学院,大数据技术,223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
厦门兴才职业技术学院,人工智能技术应用,244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
厦门演艺职业学院,电子商务,325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
厦门演艺职业学院,动漫设计,375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
厦门演艺职业学院,影视多媒体技术,374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
漳州城市职业学院,物联网应用技术,531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
漳州城市职业学院,大数据技术,534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
漳州城市职业学院,移动应用开发,514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
